avg_ps,min_ps,max_ps,burst_ps,pause_ps
0.0,-96.0,96.0,-472.0,432.0
8.0,-96.0,104.0,-496.0,432.0
32.0,-64.0,120.0,-520.0,480.0
32.0,-72.0,104.0,-400.0,480.0
48.0,-64.0,128.0,-496.0,480.0
32.0,-48.0,128.0,-496.0,480.0
32.0,-40.0,120.0,-384.0,480.0
48.0,-64.0,120.0,-456.0,480.0
48.0,-24.0,144.0,-496.0,480.0
48.0,-64.0,128.0,-480.0,480.0
32.0,-64.0,96.0,-496.0,480.0
48.0,-48.0,128.0,-448.0,496.0
48.0,-72.0,120.0,-456.0,496.0
48.0,-48.0,144.0,-496.0,480.0
48.0,-48.0,144.0,-472.0,480.0
48.0,-48.0,152.0,-456.0,480.0
48.0,-64.0,168.0,-480.0,480.0
48.0,-48.0,152.0,-496.0,480.0
48.0,-64.0,144.0,-496.0,480.0
48.0,-48.0,144.0,-432.0,480.0
24.0,-96.0,104.0,-472.0,480.0
24.0,-112.0,96.0,-472.0,480.0
8.0,-120.0,104.0,-480.0,432.0
24.0,-96.0,104.0,-472.0,480.0
24.0,-88.0,120.0,-496.0,432.0
32.0,-64.0,96.0,-480.0,480.0
48.0,-40.0,128.0,-472.0,480.0
48.0,-40.0,168.0,-480.0,496.0
32.0,-88.0,120.0,-480.0,480.0
24.0,-88.0,120.0,-496.0,480.0
32.0,-120.0,120.0,-496.0,432.0
24.0,-72.0,96.0,-360.0,480.0
56.0,-64.0,168.0,-448.0,480.0
48.0,-48.0,128.0,-456.0,480.0
32.0,-64.0,104.0,-432.0,496.0
48.0,-64.0,128.0,-520.0,480.0
48.0,-96.0,128.0,-448.0,480.0
32.0,-112.0,120.0,-480.0,480.0
48.0,-64.0,144.0,-480.0,480.0
56.0,-72.0,144.0,-472.0,496.0
56.0,-16.0,168.0,-480.0,496.0
56.0,-48.0,152.0,-496.0,480.0
72.0,-24.0,200.0,-432.0,480.0
56.0,-24.0,168.0,-472.0,480.0
80.0,-16.0,192.0,-424.0,496.0
48.0,-64.0,128.0,-432.0,496.0
48.0,-40.0,144.0,-448.0,480.0
72.0,-16.0,192.0,-480.0,496.0
48.0,-48.0,144.0,-456.0,480.0
56.0,-40.0,168.0,-496.0,496.0
48.0,-48.0,128.0,-456.0,480.0
56.0,-40.0,152.0,-472.0,480.0
56.0,-40.0,128.0,-504.0,480.0
48.0,-64.0,144.0,-496.0,480.0
48.0,-40.0,144.0,-472.0,480.0
48.0,-88.0,144.0,-424.0,480.0
48.0,-96.0,144.0,-496.0,480.0
48.0,-48.0,128.0,-496.0,496.0
48.0,-24.0,128.0,-472.0,480.0
48.0,-24.0,128.0,-472.0,480.0
56.0,-24.0,152.0,-528.0,480.0
56.0,-48.0,168.0,-384.0,480.0
48.0,-64.0,128.0,-528.0,496.0
48.0,-24.0,152.0,-496.0,480.0
48.0,-48.0,144.0,-504.0,480.0
56.0,-24.0,168.0,-520.0,480.0
56.0,-40.0,168.0,-504.0,496.0
48.0,-40.0,128.0,-504.0,480.0
48.0,-24.0,168.0,-504.0,480.0
48.0,-64.0,152.0,-456.0,480.0
48.0,-40.0,120.0,-496.0,480.0
48.0,-64.0,128.0,-480.0,480.0
48.0,-64.0,128.0,-472.0,480.0
32.0,-64.0,120.0,-480.0,480.0
48.0,-48.0,128.0,-504.0,496.0
48.0,-64.0,144.0,-456.0,496.0
48.0,-64.0,128.0,-424.0,480.0
32.0,-64.0,144.0,-448.0,480.0
8.0,-112.0,96.0,-472.0,480.0
48.0,-64.0,128.0,-400.0,480.0
48.0,-48.0,128.0,-480.0,480.0
48.0,-40.0,144.0,-472.0,480.0
48.0,-48.0,152.0,-456.0,480.0
32.0,-48.0,120.0,-480.0,480.0
32.0,-88.0,128.0,-504.0,480.0
32.0,-88.0,120.0,-520.0,480.0
32.0,-64.0,120.0,-448.0,480.0
48.0,-64.0,144.0,-480.0,480.0
48.0,-64.0,120.0,-480.0,480.0
